운동 동작,대분류,난이도,부위,도구,목적,설명,영상
누워서 양쪽 무릎 굽힘,근력 /열린사슬운동 /능동,매우 쉬움,무릎,매트,근력,골반 너비로 다리를 두고 누운 자세에서 두 다리의 무릎을 직각으로 굽혀주세요. 발목은 세우고 뒤꿈치를 바닥으로 누르면서 엉덩이 쪽으로 당겨줍니다. 이때 무릎은 직각을 유지해주세요. 허벅지 뒤의 근육이 힘쓰는 것을 느껴주세요. 운동 중 허리나 골반이 뜨지 않게 주의하세요. 일정 시간 유지한 후 힘을 빼고 천천히 다리를 펴서 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/350/MG/645a95e58fcdd6b7ea9ddd33a73e063a.mp4
누워서 양쪽 무릎 굽힘 2,근력 /열린사슬운동 /능동,매우 쉬움,무릎,"매트|  
쿠션|  
의자",근력,바르게 누운 자세에서 무릎이 직각이 되게 양발을 의자 위에 올려둡니다. 발목을 세우고 뒤꿈치를 아래로 눌러줍니다. 허벅지 뒤쪽에서 힘이 들어오는 것을 느껴주세요. 뒤꿈치를 누를 때 딱딱한 곳이 불편하다면 쿠션이나 수건을 놓아 눌러주셔도 됩니다. 골반이나 허리는 바닥에서 뜨지 않도록 주의하세요. 일정 시간 유지 후 힘을 빼고 처음 자세로 돌아와 마무리합니다.,https://resources.mora.kr/static/exercise/media/365/MG/679feaafb9746096b0e5c7ed15919be1.mp4
누워서 양쪽 무릎 굽힘 3,근력 /열린사슬운동 /능동,매우 쉬움,무릎,매트,근력,다리를 펴 골반 너비로 두고 누운 자세에서 두 발목을 세운 뒤 뒤꿈치를 엉덩이 쪽으로 당겨와 무릎을 굽혀줍니다. 통증이 없는 범위에서 가능한 만큼 무릎을 굽혔다가 다시 제자리로 돌아갑니다. 허벅지 뒤의 근육을 사용하며 무릎은 항상 천장을 향하게 하며 두 무릎이 붙거나 벌어지지 않아야 합니다. 동작 중 코어에 힘을 유지하여 허리나 골반이 움직이지 않도록 합니다. 일정 횟수 반복한 후 시작 자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/725/MG/f87a210682603ae16bae995bac22de93.mp4
누워서 양쪽 무릎 폄,근력 /열린사슬운동 /능동,매우 쉬움,무릎,"매트|  
쿠션",근력,골반너비로 다리를 펴고 누운 자세에서 발목을 세우고 양쪽 무릎을 펴줍니다. 무릎으로 아래에 있는 쿠션을 눌러준다 생각하세요. 뒤꿈치는 바닥에서 떨어져야 합니다. 양쪽 허벅지 앞에 힘이 들어오는 것을 느껴주세요. 일정 시간 유지 후 천천히 다리를 내려 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/336/MG/8544efeb27e35d530184ccb1527c0163.mp4
누워서 양쪽 무릎 폄 2,근력 /열린사슬운동 /능동,매우 쉬움,무릎,"매트|  
쿠션",근력,골반너비로 다리를 펴고 누운 자세에서 발목을 세우고 양쪽 무릎을 폈다가 천천히 내려줍니다. 무릎을 펼 땐 무릎으로 아래에 있는 쿠션을 눌러준다 생각하세요. 뒤꿈치는 바닥에서 떨어져야 합니다. 양쪽 허벅지 앞에 힘이 들어오는 것을 느껴주세요. 일정횟수 반복 후 천천히 다리를 내려 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/337/MG/14edf80901c91ee5239c7ca0df2b2a82.mp4
누워서 양쪽 무릎 폄 3,근력 /열린사슬운동 /능동,매우 쉬움,무릎,"탄력밴드|  
매트",근력,두 발에 탄력밴드를 걸고 누운 자세에서 무릎을 굽힌 다음 손으로 밴드를 당겨 팽팽하게 만들어 줍니다. 두 발로 밴드를 밀면서 무릎을 폈다가 천천히 돌아옵니다. 무릎을 펼 때 허벅지 앞쪽 근육이 힘쓰는 것을 느껴주세요. 동작 중에 허리가 꺾이지 않도록 주의합니다. 일정 횟수 반복 후 시작 자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/727/MG/afcc0f92568aae04f4ae57f1b745dd5b.mp4
누워서 양쪽 무릎 폄 4,근력 /열린사슬운동 /능동,쉬움,무릎|복부,"탄력밴드|  
매트",근력,두 발에 탄력밴드를 걸고 누운 자세에서 무릎을 굽히면서 다리를 들고 손으로 밴드를 당겨 팽팽하게 만들어 줍니다. 두 발로 밴드를 밀면서 무릎을 폈다가 천천히 돌아옵니다. 무릎을 펼 때 허벅지 앞쪽 근육이 힘쓰는 것을 느껴주세요. 동작 중에 코어에 힘을 주어 허리가 꺾이지 않도록 주의합니다. 일정 횟수 반복 후 시작 자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/728/MG/64207be2548f43765468647e13150266.mp4
누워서 양쪽 어깨 굽힘,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,침대,관절 움직임,바로 누운 자세에서 몸 가운데에서 두 손을 잡고 머리 위로 올려줍니다. 가능한 범위까지 올린 후 힘을 빼서 유지합니다. 양쪽 위팔과 겨드랑이 쪽에서 스트레칭 되는 것을 느낄 수 있습니다. 어깨에 통증은 생기지 않아야 합니다. 팔을 올리면서 허리나 등이 바닥에서 떨어지지 않게 주의하세요. 일정 시간 유지 후 천천히 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/823/MG/4c8237506440a938614ec1e3cceefa74.mp4
누워서 양쪽 어깨 굽힘 2,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,침대,관절 움직임,바로 누운 자세에서 몸 가운데에서 두 손을 잡고 가능한 만큼 머리 위로 올렸다가 제자리로 돌아옵니다. 양쪽 위팔과 겨드랑이 쪽에서 스트레칭 되는 것을 느낄 수 있습니다. 어깨에 통증은 생기지 않는 범위에서 움직여주세요. 팔을 올리면서 허리나 등이 바닥에서 떨어지지 않게 주의하세요. 일정 횟수 반복 후 천천히 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/824/MG/fbf90b05306579504e38ce1091bbc022.mp4
누워서 양쪽 어깨 굽힘 3,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,매트,관절 움직임,"바로 누운 자세에서 양팔을 굽혀 머리 위로 올려주세요. 움직임이 가능한 만큼 가주시면 됩니다. 단 통증이 나타나지 않도록 주의해주시고, 어깨가 올라가지 않도록 신경 써주세요. 등이 뜨거나 머리가 같이 움직이지 않아야 합니다. 코어에 힘을 주어 허리가 꺾이지 않도록 해주세요. 일정 시간 유지 후 천천히 팔을 내려 시작 자세로 돌아옵니다.",https://resources.mora.kr/static/exercise/media/871/MG/af1d3f713ffda84f2ba0ed834269f26c.mp4
누워서 양쪽 어깨 굽힘 4,근력 /열린사슬운동 /능동,매우 쉬움,어깨,매트,근력,"바로 누운 자세에서 양팔을 굽혀 머리 위로 올렸다 돌아옵니다. 움직임이 가능한 만큼 가주세요. 단 통증이 나타나지 않도록 주의해주시고, 어깨가 올라가지 않도록 신경 써주세요. 등이 뜨거나 머리가 같이 움직이지 않아야 합니다. 코어에 힘을 주어 허리가 꺾이지 않도록 해주세요. 일정 횟수 반복 후 천천히 팔을 내려 시작 자세로 돌아옵니다.",https://resources.mora.kr/static/exercise/media/872/MG/b92afff70f903c4011b0ac7f94699c16.mp4
누워서 양쪽 어깨 내리기,근력 /열린사슬운동 /능동,매우 쉬움,어깨,매트,근력,바로 누운 자세에서 양팔을 몸 옆에 두고 손끝을 발 쪽으로 보내면서 어깨를 내려주세요. 어깨 윗부분이 늘어나는 느낌을 느끼면서 등 아래쪽에서 힘이 들어오는 것을 느껴주세요. 목에 힘이 들어가거나 턱이 과하게 들리지 않아야 합니다. 허리나 등이 바닥에서 떨어지지 않도록 해주세요. 일정 시간 유지 후 천천히 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/890/MG/30df978174811e4e58766f39f5baf6d0.mp4
누워서 양쪽 어깨 내리기 2,근력 /열린사슬운동 /능동,매우 쉬움,어깨,매트,근력,바로 누운 자세에서 양팔을 몸 옆에 두고 손끝을 발 쪽으로 보내면서 어깨를 내렸다 제자리로 돌아오세요. 어깨 윗부분이 늘어나는 느낌을 느끼면서 등 아랫부분에서는 힘이 들어오는 것을 느껴주세요. 목에 힘이 들어가거나 턱이 과하게 들리지 않아야 합니다. 허리나 등이 바닥에서 떨어지지 않도록 해주세요. 일정 횟수 반복 후 천천히 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/891/MG/53a6738eb6a337e28e3ee50415b99c0d.mp4
누워서 양쪽 어깨 벌림,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,매트,관절 움직임,바로 누운 자세에서 팔을 굽혀 손을 귀 옆으로 가져간 다음 팔꿈치를 양옆으로 천천히 가능한 만큼 내려준 다음 힘을 빼고 자세를 유지하세요. 어깨 앞쪽에서 늘어나는 느낌을 느껴주세요. 어깨가 올라가거나 턱이 과하게 들리지 않도록 하고 통증이 생기지 않도록 주의하세요. 허리나 등이 바닥에서 떨어지지 않도록 해주세요. 일정 시간 유지 후 천천히 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/888/MG/72d885a474f1740fb4b1f46035173620.mp4
누워서 양쪽 어깨 벌림 2,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,매트,관절 움직임,바로 누운 자세에서 팔을 굽혀 손을 귀 옆으로 가져간 다음 팔꿈치를 양옆으로 천천히 가능한 만큼 내렸다가 다시 모아주세요. 어깨 앞쪽에서 늘어나는 느낌과 등 쪽에 힘이 들어오는 것이 느껴질 겁니다. 어깨가 올라가거나 턱이 과하게 들리지 않도록 하고 통증이 생기지 않도록 주의하세요. 허리나 등이 바닥에서 떨어지지 않도록 해주세요. 일정 횟수 반복 후 천천히 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/889/MG/024c6b96d41201f2ebe7a6b5dcdeba1d.mp4
누워서 양쪽 어깨 벌림 3,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,매트,관절 움직임,바로 누운 자세에서 팔을 굽혀 손을 어깨 옆으로 가져간 다음 팔꿈치를 양옆으로 천천히 가능한 만큼 내려주세요. 어깨 앞쪽에서 늘어나는 느낌을 느껴주세요. 어깨가 올라가거나 턱이 과하게 들리지 않도록 하고 통증이 생기지 않도록 주의하세요. 허리나 등이 바닥에서 떨어지지 않도록 해주세요. 일정 시간 유지 후 천천히 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/893/MG/35036d17dfd161c9db5205ca3bad57a3.mp4
누워서 양쪽 엉덩이 근육 운동,근력 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,근력,골반너비로 다리를 펴고 누운 자세에서 양쪽 엉덩이를 가운데로 모으면서 힘을 줍니다. 힘을 줄 때 허리가 꺾이지 않도록 주의하세요. 다른 부위는 힘을 빼고 엉덩이에 집중합니다. 일정 시간 유지 후 힘을 풀어 주세요.,https://resources.mora.kr/static/exercise/media/334/MG/2ecc4c7e6a9d5785c4a4e52ea6d5d047.mp4
누워서 양쪽 엉덩이 근육 운동 2,근력 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,근력,골반너비로 다리를 펴고 누운 자세에서 양쪽 엉덩이를 가운데로 모으면서 힘을 주었다가 풀어줍니다. 힘을 줄 때 허리가 꺾이지 않도록 주의하세요. 다른 부위는 힘을 빼고 엉덩이에 집중합니다. 일정횟수 반복한 후 힘을 풀어 주세요.,https://resources.mora.kr/static/exercise/media/335/MG/82604adecc03d654905790829930bcfd.mp4
누워서 양쪽 팔꿈치 굽히기,관절 움직임 /열린사슬운동 /능동,매우 쉬움,팔꿈치,매트,관절 움직임,양 팔을 몸 옆에 두고 바로 누워주세요. 손바닥이 천장을 향한 상태에서 양쪽 팔꿈치를 굽혀주세요. 팔꿈치 굽힘 움직임을 하면서 위팔 앞의 근육을 사용하는 동작입니다. 위팔은 바닥에서 떨어지지 않도록 유지해 주세요. 팔꿈치에 통증이 생기지 않아야 합니다. 일정 시간 유지 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1429/MG/a52ec9eb20c2485e14bd557cbd018a25.mp4
누워서 양쪽 팔꿈치 굽히기 2,관절 움직임 /열린사슬운동 /능동,매우 쉬움,팔꿈치,매트,관절 움직임,양 팔을 몸 옆에 두고 바로 누워주세요. 손바닥이 천장을 향한 상태에서 양쪽 팔꿈치를 굽혔다 펴주세요. 팔꿈치 굽힘 움직임을 하면서 위팔 앞의 근육을 사용하는 동작입니다. 위팔은 바닥에서 떨어지지 않도록 유지해 주세요. 팔꿈치에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1430/MG/e52f95ab188d174646990b6a289bcc2b.mp4
누워서 양쪽 팔꿈치 펴 밴드 당기기,근력 /열린사슬운동 /능동,쉬움,팔꿈치,"탄력밴드|  
매트",근력,바로 누운 자세에서 등 뒤에 밴드를 고정하고 양손으로 밴드를 잡아주세요. 위팔을 수직으로 든 다음 팔꿈치를 앞으로 펴 밴드를 당겨주세요. 어깨가 올라가거나 앞으로 나오지 않아야 합니다. 위팔 뒤에서 힘이 들어오는 것을 느껴주시고 관절에 통증이 생기지 않게 주의하세요. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1441/MG/9cec499dfae584b04e6ddc23232134b2.mp4
누워서 양쪽 팔꿈치 펴 밴드 당기기 2,근력 /열린사슬운동 /능동,쉬움,팔꿈치,"탄력밴드|  
매트",근력,바로 누운 자세에서 등 뒤에 밴드를 고정하고 양손으로 밴드를 잡아주세요. 위팔을 수직으로 든 다음 팔꿈치를 앞으로 펴 밴드를 당겼다 천천히 내려주세요. 어깨가 올라가거나 앞으로 나오지 않아야 합니다. 위팔 뒤에서 힘이 들어오는 것을 느껴주시고 관절에 통증이 생기지 않게 주의하세요. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1442/MG/bcfa54e6a38b4d203f7de0079cd8b201.mp4
누워서 양팔 내리기,근력 /열린사슬운동 /능동,매우 쉬움,복부|허리,매트,근력,무릎을 굽히고 누운 자세에서 골반을 움직여 바른 자세를 잡고 코어에 힘을 준 뒤 두 팔을 머리 위로 들었다가 내려줍니다. 팔을 내릴 때 호흡을 내쉬면서 배를 등 쪽으로 당겨주세요. 팔을 움직일 때 코어에 힘을 주어 허리가 움직이지 않도록 주의합니다. 일정 횟수 반복 후 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/721/MG/6edcae110a7f5bdd2111331193339f91.mp4
누워서 양팔 내리기 2,근력 /열린사슬운동 /능동,매우 쉬움,복부|허리,"매트|  
쿠션",근력,무릎을 굽히고 누운 자세에서 골반을 움직여 바른 자세를 잡고 코어에 힘을 준 뒤 두 팔로 쿠션을 잡고 머리 위로 들었다가 내려줍니다. 팔을 내릴 때 호흡을 내쉬면서 배를 등 쪽으로 당겨주세요. 팔을 움직일 때 코어에 힘을 주어 허리가 움직이지 않도록 주의합니다. 일정 횟수 반복 후 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/722/MG/c28ad03e9674f37507a75a96322d9b58.mp4
누워서 어깨 가쪽돌림 등척성 운동,근력 /닫힌사슬운동 /능동,매우 쉬움,어깨,"매트|  
수건",근력,바로 누운 자세에서 운동할 팔을 몸 옆에 두고 아래에 수건이나 쿠션을 받쳐주세요. 팔꿈치는 직각으로 굽히고 반대 손을 운동할 팔의 손목이나 아래팔 바깥쪽으로 둡니다. 운동할 팔을 반대 손 쪽으로 돌려 바깥쪽으로 밀어주세요. 반대 손으로 밀리지 않도록 버텨주세요. 운동하는 팔의 위팔이 몸에서 멀어지거나 바닥에서 떨어지지 않도록 해주세요. 어깨에 통증이 생기지 않도록 주의하세요. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1750/MG/105a876eee064c557599997cec0b876c.mp4
누워서 어깨 굽힘,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,매트,관절 움직임,바로 누운 자세에서 운동할 팔을 굽혀 머리 위로 올려주세요. 통증이 없는 범위 안에서 움직임이 가능한 만큼 가주세요. 어깨가 머리 쪽으로 올라가지 않도록 주의하세요. 등이 뜨거나 머리가 같이 움직이지 않아야 합니다. 코어에 힘을 주어 허리가 꺾이지 않도록 해주세요. 일정 시간 유지 후 천천히 팔을 내려 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/882/MG/ffae70fa05dd0f2af80f0b9a4598bc29.mp4
누워서 어깨 굽힘 2,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,매트,관절 움직임,바로 누운 자세에서 운동할 팔을 굽혀 머리 위로 올렸다 내려옵니다. 통증이 없는 범위 안에서 움직임이 가능한 만큼 움직여주세요. 어깨가 머리 쪽으로 올라가지 않도록 주의하세요. 등이 뜨거나 머리가 같이 움직이지 않아야 합니다. 코어에 힘을 주어 허리가 꺾이지 않도록 해주세요. 일정 횟수 반복 후 천천히 팔을 내려 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/883/MG/2ad2a3a0e235c53c12fd639a020c299e.mp4
누워서 어깨 굽힘 폄,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,매트,관절 움직임,누운 자세에서 운동할 팔을 조심히 들어 준 뒤 위아래로 움직여주세요. 움직임이 가능한 범위 안에서 시작하여 점점 범위를 늘려주셔도 좋습니다. 단 통증이 나타나지 않도록 주의해주세요. 어깨가 올라가지 않도록 신경 써주세요. 등이 뜨거나 머리가 같이 움직이지 않아야 합니다. 일정 횟수 반복 후 천천히 팔을 내려 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/869/MG/5830c3b64e089d714d0b9f87a84f04b0.mp4
누워서 어깨 굽힘 폄 2,관절 움직임 /열린사슬운동 /수동,매우 쉬움,어깨,매트,관절 움직임,"누운 자세에서 운동할 팔을 조심히 위로 올려 반대 손으로 잡아줍니다. 잡은 손으로 운동할 팔을 위아래로 움직여주세요. 움직임이 가능한 범위 안에서 시작하여 점점 범위를 늘려주셔도 좋습니다. 단 통증이 나타나지 않도록 주의해주시고, 어깨가 올라가지 않도록 신경 써주세요. 등이 뜨거나 머리가 같이 움직이지 않아야 합니다. 일정 횟수 반복 후 천천히 팔을 내려 시작 자세로 돌아옵니다.",https://resources.mora.kr/static/exercise/media/870/MG/2c7917bb0346def499eb3adc4ed874a3.mp4
누워서 어깨 내회전,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,"매트|  
수건",관절 움직임,운동할 팔 아래에 수건을 두고 누운 자세에서 팔꿈치를 직각으로 굽혀 팔을 안쪽으로 돌려주세요. 위팔의 위치가 움직이지 않도록 두고 통증이 없는 범위안에서 가능한 만큼 움직여줍니다. 어깨의 내회전 범위 운동입니다. 목과 어깨에 긴장을 푼 상태에서 움직여주세요. 안쪽으로 갈 수 있는 끝 범위에서 일정 시간 유지 후 시작 자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/849/MG/b95b003aefe255fad118af1cefadaed1.mp4
누워서 어깨 내회전 2,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,"매트|  
수건",관절 움직임,운동할 팔 아래에 수건을 두고 누운 자세에서 팔꿈치를 직각으로 굽혀 팔을 안쪽으로 돌렸다 시작 자세로 갑니다. 위팔의 위치가 움직이지 않도록 두고 통증이 없는 범위안에서 가능한 만큼 움직여줍니다. 어깨의 내회전 범위 운동입니다. 목과 어깨에 긴장을 푼 상태에서 움직여주세요. 안쪽으로 갈 수 있는 끝 범위까지 움직였다 돌아옵니다. 일정 횟수 반복 후 시작 자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/850/MG/c3a37df91ba846d7ce1064d3b5c812fc.mp4
누워서 어깨 내회전 3,근력 /닫힌사슬운동 /능동,매우 쉬움,어깨,"매트|  
수건",근력,운동할 팔 아래에 수건을 두고 누운 자세에서 팔꿈치를 직각으로 굽히고 반대 손을 아래팔에 둡니다. 운동할 팔의 아래팔은 안쪽으로 돌리면서 동시에 반대 손은 팔이 움직이지 않게 버텨줍니다. 팔의 위치가 크게 움직이지 않아야 합니다. 어깨의 내회전 운동입니다. 목에 힘이 들어가지 않도록 하고 어깨가 올라가거나 통증이 생기지 않게 주의합니다. 일정 시간 유지 후 시작 자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/853/MG/40135fc61c62dcb0791aaa445672a753.mp4
누워서 어깨 내회전 4,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,"매트|  
수건",관절 움직임,누운 자세에서 팔을 어깨높이까지 벌려 수건 위에 올려둡니다. 팔꿈치는 직각으로 둔 상태에서 아래팔을 안쪽으로 돌려주세요. 어깨를 내회전하는 동작입니다. 움직임이 가능한 만큼 간 상태에서 유지합니다. 중력으로 인하여 서서히 범위가 증가 할 수 있습니다. 어깨가 바닥에서 뜨거나 머리 쪽으로 올라가지 않도록 하고 통증이 생기지 않게 주의하세요. 일정 시간 유지 후 천천히 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/857/MG/e1f120abc4125fafda317f6dd5eb6cd5.mp4
누워서 어깨 내회전 5,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,"매트|  
수건",관절 움직임,누운 자세에서 팔을 어깨높이까지 벌려 수건 위에 올려둡니다. 팔꿈치는 직각으로 둔 상태에서 아래팔을 안쪽으로 내렸다 돌아옵니다. 어깨를 내회전하는 동작입니다. 움직임이 가능한 만큼 내려갔다가 돌아옵니다. 어깨가 바닥에서 뜨거나 머리 쪽으로 올라가지 않도록 하고 통증이 생기지 않게 주의하세요. 일정 횟수 반복 후 천천히 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/858/MG/776ebbae869808ccbedaed6d01a381e5.mp4
누워서 어깨 벌림,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,매트,관절 움직임,운동할 팔을 몸 옆에 두고 바로 눕습니다. 운동할 팔을 바닥에 내려놓은 채 통증이 없는 범위 안에서 가능한 만큼 옆으로 벌려주세요. 어깨나 목에 긴장은 풀어주시고 등이나 허리가 바닥에서 뜨지 않도록 해주세요. 일정 횟수 반복 후 천천히 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/887/MG/9a30771778294ea910894cf6ecf18a14.mp4
누워서 어깨 안으로 당기기,관절 움직임 /열린사슬운동 /수동,매우 쉬움,어깨,매트,관절 움직임,바로 누운 자세에서 움직일 팔을 굽혀 가슴 앞으로 가져온 다음 반대 손으로 위팔을 잡아 반대쪽 어깨로 가능한 범위만큼 부드럽게 당겨주세요. 팔의 뒷부분과 어깨 부분이 스트레칭 되는 것을 느껴주세요. 어깨 관절에서 통증이 생기지 않도록 주의하세요. 일정 시간 유지 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1512/MG/190b0f340dc64dfb1211f6317bef6714.mp4
누워서 어깨 안으로 당기기 2,관절 움직임 /열린사슬운동 /수동,매우 쉬움,어깨,매트,관절 움직임,바로 누운 자세에서 움직일 팔을 굽혀 가슴 앞으로 가져온 다음 반대 손으로 위팔을 잡아 반대쪽 어깨로 가능한 범위만큼 부드럽게 당겼다가 돌아가세요. 팔의 뒷부분과 어깨 부분이 스트레칭 되는 것을 느껴주세요. 어깨 관절에서 통증이 생기지 않도록 주의하세요. 일정 횟수 반복 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1513/MG/dee9dfe4a20e9529fdcc8c77bb30593a.mp4
누워서 어깨 안정화 운동,균형 /열린사슬운동 /능동,매우 쉬움,어깨,"매트|  
수건",균형,누운 자세에서 운동할 팔의 팔꿈치를 직각으로 굽히고 어깨를 옆으로 살짝 벌려 수건 위에 올려주세요. 팔꿈치는 수건에 붙여놓은 상태로 어깨를 바닥 쪽으로 내려주세요. 목에 힘을 빼주시고 등이나 어깨가 바닥에서 뜨지 않게 주의하셔야 합니다. 일정 시간 유지 후 천천히 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/862/MG/67e94440b8f90ab140c95a3a704e72dd.mp4
누워서 어깨 외회전,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,"매트|  
수건",관절 움직임,운동할 팔 아래에 수건을 두고 누운 자세에서 팔꿈치를 직각으로 굽혀 팔을 바깥쪽으로 돌려주세요. 위팔의 위치가 움직이지 않도록 두고 통증이 없는 범위안에서 가능한 만큼 움직여줍니다. 어깨의 외회전 범위 운동입니다. 목과 어깨에 긴장을 푼 상태에서 움직여주세요. 바깥쪽으로 갈 수 있는 끝 범위에서 일정 시간 유지 후 시작 자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/851/MG/71ea125dc8084753f6fddfce56fd5768.mp4
누워서 어깨 외회전 2,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,"매트|  
수건",관절 움직임,운동할 팔 아래에 수건을 두고 누운 자세에서 팔꿈치를 직각으로 굽혀 팔을 바깥쪽으로 돌렸다 시작 자세로 갑니다. 위팔의 위치가 움직이지 않도록 두고 통증이 없는 범위안에서 가능한 만큼 움직여줍니다. 어깨의 외회전 범위 운동입니다. 목과 어깨에 긴장을 푼 상태에서 움직여주세요. 바깥쪽으로 갈 수 있는 끝 범위까지 움직였다 돌아옵니다. 일정 횟수 반복 후 시작 자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/852/MG/c22c6baf7b5ee44e2bdbc008b3de90b7.mp4
누워서 어깨 외회전 3,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,"매트|  
수건",관절 움직임,운동할 팔 아래에 수건을 두고 바르게 누워주세요. 위팔과 몸통 사이에 말아놓은 수건을 두고 팔꿈치를 직각으로 굽혀 팔을 바깥쪽으로 돌려주세요. 수건이 빠지지 않게 주의하면서 통증이 없는 범위안에서 가능한 만큼 움직여줍니다. 어깨의 외회전 범위 운동입니다. 목과 어깨에 긴장을 푼 상태에서 움직여주세요. 바깥쪽으로 갈 수 있는 끝 범위에서 일정 시간 유지 후 시작 자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/855/MG/735e0af8c605bdc9111ea03d30888b7b.mp4
누워서 어깨 외회전 4,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,"매트|  
수건",관절 움직임,운동할 팔 아래에 수건을 두고 바르게 누워주세요. 위팔과 몸통 사이에 말아놓은 수건을 두고 팔꿈치를 직각으로 굽혀 팔을 바깥쪽으로 돌렸다 시작 자세로 옵니다. 수건이 빠지지 않게 주의하면서 통증이 없는 범위안에서 가능한 만큼 움직여줍니다. 어깨의 외회전 범위 운동입니다. 목과 어깨에 긴장을 푼 상태에서 움직여주세요. 바깥쪽으로 갈 수 있는 끝 범위까지 움직였다 돌아옵니다. 일정 횟수 반복 후 시작 자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/856/MG/2ce836d39c7061b84106bdcea454e6dd.mp4
누워서 어깨 외회전 5,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,"매트|  
수건",관절 움직임,누운 자세에서 팔을 어깨높이까지 벌려 수건 위에 올려둡니다. 팔꿈치는 직각으로 둔 상태에서 아래팔을 바깥쪽으로 돌려주세요. 어깨를 외회전하는 동작입니다. 움직임이 가능한 만큼 간 상태에서 유지합니다. 중력으로 인하여 서서히 범위가 증가 할 수 있습니다. 어깨가 바닥에서 뜨거나 머리 쪽으로 올라가지 않도록 하고 통증이 생기지 않게 주의하세요. 일정 시간 유지 후 천천히 시작 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/859/MG/ea29830fb783dff214124281b42beda9.mp4
